hash,author,time,message,file_changes,insertions,deletions
e75b88f,TheChesireCat,2023-12-09 00:05:45,update readme final,3,1197,2
245676f,TheChesireCat,2023-12-09 00:05:45,update readme,0,0,0
c584af3,TheChesireCat,2023-12-08 22:05:45,update readme,0,0,0
02d0ce3,TheChesireCat,2023-12-08 21:05:45,penultimate commit,6,123,1086
494a80d,TheChesireCat,2023-12-08 15:05:45,cities and states and dump,2,1058,3
61d1250,TheChesireCat,2023-12-08 13:05:45,cities and states fix notebook size,0,0,0
9319bd2,TheChesireCat,2023-12-08 13:05:45,cities and states load,15,2774,21
49e47b2,TheChesireCat,2023-12-08 03:05:45,search [sidebar fixes],16,7422,0
f626f58,TheChesireCat,2023-12-08 03:05:45,search,4,65,6
de6a269,TheChesireCat,2023-12-08 02:05:45,visualization [tags piechart],2,17,0
d111872,TheChesireCat,2023-12-08 02:05:45,visualization ->  search,2,7,6
56b3347,TheChesireCat,2023-12-07 13:05:45,"liked posts -> visualization, search",4,41,7127
91a1e34,TheChesireCat,2023-12-07 13:05:45,"tag view, user posts view -> visualization, liked, search",5,208,96
23a807b,TheChesireCat,2023-12-07 13:05:45,"edit post, delete image from post [revalidate fix]",2,7,5
88a0780,TheChesireCat,2023-12-07 13:05:45,"edit post, delete image from post -> view posts (user,tag,search)",6,173,27
b41f8b5,TheChesireCat,2023-12-06 13:05:45,interim,0,0,0
7842cb9,TheChesireCat,2023-12-06 13:05:45,'page' arg for revalidatePath,4,5,29
4e53046,TheChesireCat,2023-12-06 13:05:45,"add comments -> edit post, view post by XYZ",3,91,76
cccd364,TheChesireCat,2023-12-06 13:05:45,"add likes, view likes, view tags, -> adding comments",7,306,26
2d4be12,TheChesireCat,2023-12-04 13:05:45,"view post done, comments and likes next",5,141,73
44d2bc7,TheChesireCat,2023-12-04 13:05:45,after exam commit,7,113,22
e5df074,TheChesireCat,2023-12-04 13:05:45,remove console.logs,0,0,0
bcdf2d4,TheChesireCat,2023-12-04 13:05:45,marker fix,5,27,33
394acd5,TheChesireCat,2023-12-04 13:05:45,update profile data,18,447,93
c3bd741,TheChesireCat,2023-12-04 13:05:45,"post view port fetch, package.json unued removed, sql updates",13,1093,1034
2040aef,TheChesireCat,2023-12-03 13:05:45,"user edit, user view, user profile skeleton",6,49,3
832d566,TheChesireCat,2023-12-03 13:05:45,typo,0,0,0
fe9bf2c,TheChesireCat,2023-12-03 13:05:45,"newPostActionSkeleton added, remove public files",9,0,0
07c741f,TheChesireCat,2023-12-03 13:05:45,newPostActionSkeleton added,13,2721,409
4acd0b9,TheChesireCat,2023-12-03 13:05:45,Plain Object Support Error | add formData to newPost() action,4,49,15
c9dc055,TheChesireCat,2023-12-01 13:05:45,updated readme,0,0,0
753bcdc,TheChesireCat,2023-12-01 13:05:45,tmp env file,0,0,0
8649929,TheChesireCat,2023-12-01 13:05:45,<>newtags|addtags->createpost|uploadimage,9,342,68
5d0fe35,TheChesireCat,2023-12-01 13:05:45,<>newpost|uploadimage->newpostserver|comment|like|userprofile,22,1025,157
4ea8e8f,TheChesireCat,2023-11-30 13:05:45,<>serverActions|middlewareprotextion->newpost|uploadimage,18,404,303
6b3c907,TheChesireCat,2023-11-30 13:05:45,<>apiroutes|mysql2->serverActions|serverless-mysql,20,1435,248
6c97d98,TheChesireCat,2023-11-26 13:05:45,Initial commit from Create Next App,15,4592,0
